day,hour,minute,relativeTime,B6_M_TIMESTAMP,B6_M_AVG,B6_M_SEM,B6_M_QRT,B6_M_SAMPLES,B6_M_12_3400,B6_M_12_3401,B6_M_12_3402,B6_M_12_3403,B6_M_12_3404,B6_M_12_3405,B6_M_12_3406,B6_M_12_3407
0,10,15,36900,2025-10-14T10:15:00.000-0400,1.358012148,1.552229043,"[0.260420466,0.80921630725,1.3580121485,1.90680798975,2.4556038310000003,0.260420466,2.455603831]",479,0.260420466,2.455603831,,,,,,
0,10,16,36960,2025-10-14T10:16:00.000-0400,1.919705127,0.565468509,"[1.328133248,1.60980928675,1.8914853255000001,2.1731613642500003,2.454837403,1.328133248,2.454837403]",716,1.328133248,2.454837403,1.976144729,,,,,
0,10,17,37020,2025-10-14T10:17:00.000-0400,1.477918929,1.049234533,"[0.235427722,0.7829491097500001,1.3304704975000001,1.8779918852500002,2.425513273,0.235427722,2.425513273]",952,0.986040451,2.264694269,2.425513273,0.235427722,,,,
0,10,18,37080,2025-10-14T10:18:00.000-0400,1.13009805,0.986925963,"[0.237903239,0.85486159875,1.4718199585,2.08877831825,2.705736678,0.237903239,2.705736678]",1220,0.779378409,2.705736678,1.432290014,0.495181909,0.237903239,,,
0,10,19,37140,2025-10-14T10:19:00.000-0400,0.686876054,0.786269287,"[0.0,0.495339762,0.990679524,1.486019286,1.981359048,0.0,1.981359048]",1453,0.25495578,0.0,0.311265362,0.240949479,1.332726656,1.981359048,,
0,10,20,37200,2025-10-14T10:20:00.000-0400,0.858580467,0.668286942,"[0.0,0.47344127925,0.9468825585,1.42032383775,1.893765117,0.0,1.893765117]",1653,1.07313702,0.790973572,1.893765117,1.339905539,0.0,0.092353379,0.819928639,
0,10,21,37260,2025-10-14T10:21:00.000-0400,1.298210417,1.033138452,"[0.0,0.66327825925,1.3265565185,1.9898347777499998,2.653113037,0.0,2.653113037]",1904,0.354460931,2.592991685,1.389333509,1.761763937,1.407391211,0.0,2.653113037,0.226629026
0,10,22,37320,2025-10-14T10:22:00.000-0400,1.167132812,0.871888496,"[0.0,0.629062147,1.258124294,1.8871864409999999,2.516248588,0.0,2.516248588]",1957,0.380652928,2.125257302,1.706965029,0.806575404,0.760952637,1.040410605,2.516248588,0.0
0,10,23,37380,2025-10-14T10:23:00.000-0400,1.959257091,1.148217804,"[7.3549e-05,0.84453857375,1.6890035984999998,2.53346862325,3.377933648,7.3549e-05,3.377933648]",1860,1.604592805,2.845427847,0.653465073,2.238827692,7.3549e-05,2.748534632,3.377933648,2.205201482
0,10,24,37440,2025-10-14T10:24:00.000-0400,1.07453792,0.808950378,"[0.0,0.59866666925,1.1973333385,1.79600000775,2.394666677,0.0,2.394666677]",1845,0.0,0.318029568,0.554359672,0.686083592,1.465053207,1.651054367,2.394666677,1.527056274
0,10,25,37500,2025-10-14T10:25:00.000-0400,1.621452912,1.069188107,"[0.0,0.77112427925,1.5422485585,2.3133728377500002,3.084497117,0.0,3.084497117]",1952,0.30157768,3.084497117,2.149113107,2.48181324,0.0,1.095863343,1.874895835,1.983862974
0,10,26,37560,2025-10-14T10:26:00.000-0400,2.018083671,0.530757086,"[1.411316198,1.7598108642499999,2.1083055305,2.4568001967499997,2.805294863,1.411316198,2.805294863]",1845,2.805294863,2.604331459,1.616141388,1.582599118,2.359268332,1.411316198,1.621914463,2.143803547
0,10,27,37620,2025-10-14T10:27:00.000-0400,1.586824503,1.277798583,"[0.0,0.80712631525,1.6142526305,2.42137894575,3.228505261,0.0,3.228505261]",1853,0.202920575,0.224901726,0.0,2.354163151,1.662960497,3.228505261,2.241307281,2.779837533
0,10,28,37680,2025-10-14T10:28:00.000-0400,1.947197366,0.767414336,"[0.369592288,1.01221148675,1.6548306855000001,2.29744988425,2.940069083,0.369592288,2.940069083]",1893,1.414881057,2.940069083,2.196148904,2.198805094,2.052022364,0.369592288,2.423606948,1.982453189
0,10,29,37740,2025-10-14T10:29:00.000-0400,1.272963227,1.418099776,"[0.0,0.929360474,1.858720948,2.788081422,3.717441896,0.0,3.717441896]",1871,1.465301321,0.0,0.344075297,0.319399659,0.190456716,1.020320521,3.126710405,3.717441896
0,10,30,37800,2025-10-14T10:30:00.000-0400,1.761676088,1.593463059,"[0.183888401,1.360712819,2.537537237,3.7143616550000003,4.891186073,0.183888401,4.891186073]",1928,4.891186073,1.968811235,0.2320425,2.006512908,0.183888401,0.195827823,2.299983475,2.31515629
0,10,31,37860,2025-10-14T10:31:00.000-0400,1.111653177,0.894683942,"[0.0,0.64910661725,1.2982132345,1.9473198517499999,2.596426469,0.0,2.596426469]",1874,1.123007567,0.68812854,0.897166718,2.057608329,0.0,0.13187006,1.399017731,2.596426469
0,10,32,37920,2025-10-14T10:32:00.000-0400,1.300334789,0.867628248,"[0.108938988,0.698667518,1.288396048,1.8781245780000002,2.467853108,0.108938988,2.467853108]",1845,0.972088504,1.854853965,0.550869801,2.467853108,0.108938988,0.533938616,2.130322262,1.783813066
0,10,33,37980,2025-10-14T10:33:00.000-0400,1.889321539,0.898071798,"[0.2131297,0.95154702725,1.6899643545,2.42838168175,3.166799009,0.2131297,3.166799009]",1857,1.67975665,2.371928291,1.365342387,3.166799009,0.2131297,1.624051223,2.633027697,2.060537355
0,10,34,38040,2025-10-14T10:34:00.000-0400,1.91395155,0.850161778,"[0.763294872,1.3451174515000002,1.926940031,2.5087626105000003,3.09058519,0.763294872,3.09058519]",1930,0.906031641,2.334354175,2.144099939,3.09058519,1.41231357,2.833819541,0.763294872,1.827113471
0,10,35,38100,2025-10-14T10:35:00.000-0400,1.623693957,1.329720282,"[0.0,0.79093179675,1.5818635935,2.3727953902500003,3.163727187,0.0,3.163727187]",1945,0.133749869,2.512252685,0.0,3.045579606,1.301226346,3.163727187,0.380182366,2.452833598
0,10,36,38160,2025-10-14T10:36:00.000-0400,1.548161536,1.609107625,"[0.202440473,1.468494483,2.734548493,4.000602503,5.266656513,0.202440473,5.266656513]",1872,0.584645295,0.345933411,1.440560226,1.647555775,1.259696198,0.202440473,5.266656513,1.637804397
0,10,37,38220,2025-10-14T10:37:00.000-0400,1.994138294,1.122693325,"[0.247391229,1.143084501,2.0387777729999996,2.9344710449999996,3.8301643169999995,0.247391229,3.830164317]",1945,1.754372765,1.518353643,0.247391229,3.830164317,1.261798523,1.69893518,2.569957982,3.072132715
0,10,38,38280,2025-10-14T10:38:00.000-0400,1.172185907,1.082414227,"[0.193741792,1.0225924605,1.851443129,2.6802937975,3.509144466,0.193741792,3.509144466]",1865,1.467479108,0.193741792,0.589575623,0.270267108,1.264218474,0.541573531,3.509144466,1.541487155
0,10,39,38340,2025-10-14T10:39:00.000-0400,2.178663046,1.820069634,"[0.235070356,1.6055277997500002,2.9759852435000003,4.34644268725,5.716900131,0.235070356,5.716900131]",1867,2.219395859,2.654531874,0.235070356,1.202892523,0.49835292,1.280653683,5.716900131,3.621507023
0,10,40,38400,2025-10-14T10:40:00.000-0400,1.62026904,1.03901371,"[0.0,0.68306261775,1.3661252355,2.04918785325,2.732250471,0.0,2.732250471]",1949,2.436754572,2.41017434,2.120750753,2.732250471,0.910271025,0.0,1.968156262,0.383794898
0,10,41,38460,2025-10-14T10:41:00.000-0400,1.246439045,1.260811025,"[0.0,0.82661605525,1.6532321105,2.47984816575,3.306464221,0.0,3.306464221]",1957,0.0,2.154105896,2.257681643,3.306464221,0.0,0.362219426,0.250118582,1.640922595
0,10,42,38520,2025-10-14T10:42:00.000-0400,1.159862056,0.709662108,"[0.219047915,0.6539444955,1.088841076,1.5237376565,1.958634237,0.219047915,1.958634237]",1957,0.219047915,0.978433729,0.468328236,1.564115377,0.469302011,1.958634237,1.855460688,1.765574255
0,10,43,38580,2025-10-14T10:43:00.000-0400,1.935364141,1.111671858,"[0.0,0.85261329475,1.7052265895,2.55783988425,3.410453179,0.0,3.410453179]",1865,1.796093451,1.742359781,3.410453179,2.868552738,0.0,0.92505342,2.81897503,1.921425531
0,10,44,38640,2025-10-14T10:44:00.000-0400,1.399009148,0.859474194,"[0.0,0.57799580925,1.1559916185,1.7339874277500003,2.311983237,0.0,2.311983237]",1896,1.735372334,2.058832121,1.116233944,1.961267988,1.753777692,0.0,0.25460587,2.311983237
0,10,45,38700,2025-10-14T10:45:00.000-0400,1.632795879,1.001968833,"[0.231836512,0.969142471,1.70644843,2.443754389,3.181060348,0.231836512,3.181060348]",1941,1.379334455,1.774319545,1.313689118,1.466894286,0.772934826,0.231836512,3.181060348,2.94229794
0,10,46,38760,2025-10-14T10:46:00.000-0400,1.038768221,0.79939915,"[0.0,0.51165152925,1.0233030585,1.5349545877500002,2.046606117,0.0,2.046606117]",1896,0.861208669,1.761906087,0.0,1.39792064,0.181275536,2.046606117,0.337929922,1.723298798
